44984,PRÁTICA DE ENSINO: ESCOLARIZAÇÃO,default
43585,FUNDAMENTOS MATEMÁTICOS PARA ASTRONOMIA,default
43609,POLÍTICAS EDUCACIONAIS NO BRASIL,default
44985,PRÁTICA DE ENSINO: ESPAÇOS ALTERNATIVOS,default
43621,QUÍMICA GERAL,default
45061,FÍSICA GERAL,default
45065,IDENTIDADE DO PROFISSIONAL PROFESSOR,default
45062,LABORATÓRIO DE FÍSICA GERAL,default
45064,PRÁTICA DE ENSINO: PROJETOS DE ENSINO,default
43600,CONCEPÇÕES DO PROCESSO ENSINO APRENDIZAGEM,default
45066,"FLUÍDOS, OSCILAÇÕES E CALOR",default
45067,"LABORATÓRIO DE FLUÍDOS, OSCILAÇÕES E CALOR",default
45072,MATEMÁTICA FINANCEIRA,default
45068,PRÁTICA DE ENSINO: LABORATÓRIO DIDÁTICO,default
45071,PRÁTICA DE ENSINO: SOFTWARES EDUCATIVOS,default
45083,FÍSICA MODERNA,default
43623,"PLANEJAMENTO, DESENVOLVIMENTO E AVALIAÇÃO DO PROCESSO DIDÁTICO",default
49305,INTRODUÇÃO À ENGENHARIA,default
49303,LABORATÓRIO DE QUÍMICA GERAL,default
49302,QUÍMICA GERAL,default
45901,SISTEMAS DIGITAIS,default
46019,LABORATÓRIO DE SISTEMAS EMBUTIDOS MICROPROCESSADOS,default
45960,DESENHO MECÂNICO,default
45899,LABORATÓRIO DE PROGRAMAÇÃO DE COMPUTADORES II,default
45900,PROGRAMAÇÃO DE COMPUTADORES II,default
45895,CIÊNCIA DOS MATERIAIS,default
45744,REDAÇÃO TÉCNICA,default
45924,ECONOMIA,default
45926,SEGURANÇA DO TRABALHO,default
46605,EXPRESSÃO GRÁFICA I,default
43191,METODOLOGIA CIENTÍFICA E TECNOLÓGICA,default
50489,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,default
47416,FUNDAMENTOS DE JOGOS DIGITAIS,default
47420,FUNDAMENTOS DE MATEMÁTICA I,default
47418,PRODUÇÃO E EDIÇÃO DE ÁUDIO,default
47415,ROTEIRO E NARRATIVAS,default
47421,SEMINÁRIOS I,default
42573,INTRODUÇÃO À ENGENHARIA ELETRÔNICA E DE TELECOMUNICAÇÃO,default
45896,CIÊNCIAS DO AMBIENTE,default
41710,SEMINÁRIO I,default
45897,CIRCUITOS ELÉTRICOS I,default
46026,PROJETO ASSISTIDO POR COMPUTADOR,default
45912,ELETRÔNICA I,default
45950,LABORATÓRIO DE ELETRÔNICA I,default
41717,SEMINÁRIO II,default
43606,ALGEBRA LINEAR,default
38208,DESENHO TÉCNICO,default
45892,CÁLCULO IV,default
45906,CIRCUITOS ELÉTRICOS II,default
45909,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,default
46018,SISTEMAS EMBUTIDOS MICROPROCESSADOS,default
45914,LABORATÓRIO DE INFORMÁTICA INDUSTRIAL I,default
45949,LABORATÓRIO DE SINAIS E SISTEMAS,default
45928,MÉTODOS E TÉCNICAS DE MEDIÇÃO,default
47726,SINAIS E SISTEMAS,default
45931,LABORATÓRIO DE INSTRUMENTAÇÃO,default
45753,LABORATÓRIO DE PROGRAMAÇÃO APLICADA À ENGENHARIA QUÍMICA,default
47359,CÁLCULO II (Virtual),default
47066,ESTATÍSTICA E PROBABILIDADE,default
